River,Fishno,Sex,Distance,Index
St.John's,1140,F,1094.391,456
St.John's,1158,F,1120.848,467
St.John's,1159,F,1005.393,419
St.John's,1164,F,1067.934,445
St.John's,1134,M,1154.523,480
St.John's,1135,M,1034.259,431
St.John's,1136,M,1176.168,489
St.John's,1137,M,1039.0683,432
St.John's,1139,M,892.35,372
Susquenahha,100,F,1286.811,535
Susquenahha,103,F,978.936,408
Susquenahha,90,F,1159.332,483
Susquenahha,96,F,1017.4233,424
Susquenahha,98,F,1113.6333,464
Susquenahha,109,M,1346.943,559
Susquenahha,92,M,1171.359,487
Susquenahha,93,M,993.369,413
Susquenahha,95,M,1027.041,428
Susquenahha,99,M,1005.3963,418
Tar,470,F,1027.044,428
Tar,356,M,1104.012,460
Tar,464,M,990.963,413
Tar,482,M,808.176,337
Tar,483,M,1036.662,432
TarSwift,512,M,1087.173,448
TarSwift,513,M,1087.1733,452
TarSwift,514,M,988.56,412
TarSwift,519,M,998.181,413
TarSwift,498,F,1046.286,436
TarSwift,499,F,1337.3187,557
TarSwift,501,F,959.697,400
TarSwift,502,F,1125.66,468
TarSwift,503,F,1140.0873,474
Waccamaw,428,F,1265.163,524
Waccamaw,429,F,1346.94,561
Waccamaw,430,F,1188.1947,493
Waccamaw,431,F,1472.0163,608
Waccamaw,432,F,1224.273,510
Waccamaw,433,F,1327.698,550
Waccamaw,434,F,1346.9406,560
